,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
282,Orco +/+ shuffle vs. Orco +/+ fixed va2,0.7,0.610085085222436,-0.5145731728297583,0.4941568475705582
283,Orco +/+ shuffle vs. Orco +/+ fixed va3,0.3333333333333333,0.02995926618652108,-1.5849625007211563,3.5079166137398525
284,Orco +/+ shuffle vs. Orco +/+ fixed va4,0.0,0.0587915078933043,-inf,2.833757858090906
285,Orco +/+ shuffle vs. Orco +/+ fixed va5,2.3333333333333335,0.32865112944639446,1.222392421336448,1.11275848765471
286,Orco +/+ shuffle vs. Orco +/+ fixed va6,0.5,0.49569541534792144,-1.0,0.701793622842597
287,Orco +/+ shuffle vs. Orco +/+ fixed va7l,1.25,1.0,0.32192809488736235,0.0
288,Orco +/+ shuffle vs. Orco +/+ fixed va7m,2.0,0.6817831153087021,1.0,0.3830436844592892
289,Orco +/+ shuffle vs. Orco +/+ fixed vc1,1.0,1.0,0.0,0.0
290,Orco +/+ shuffle vs. Orco +/+ fixed vc2,1.0,1.0,0.0,0.0
291,Orco +/+ shuffle vs. Orco +/+ fixed vc3l,1.25,1.0,0.32192809488736235,0.0
292,Orco +/+ shuffle vs. Orco +/+ fixed vc3m,1.25,1.0,0.32192809488736235,0.0
293,Orco +/+ shuffle vs. Orco +/+ fixed vc4,0.75,1.0,-0.4150374992788438,0.0
294,Orco +/+ shuffle vs. Orco +/+ fixed vc5,3.5,0.16779366894862763,1.8073549220576042,1.7850202154067778
295,Orco +/+ shuffle vs. Orco +/+ fixed vl1,3.0,0.6204681545998911,1.584962500721156,0.47728099781422645
296,Orco +/+ shuffle vs. Orco +/+ fixed vl2a,1.0,1.0,0.0,0.0
297,Orco +/+ shuffle vs. Orco +/+ fixed vl2p,4.0,0.36744692433315185,2.0,1.001176394342596
298,Orco +/+ shuffle vs. Orco +/+ fixed vm1,0.5,0.3697335071512395,-1.0,0.9949727837917866
299,Orco +/+ shuffle vs. Orco +/+ fixed vm2,0.5,0.3697335071512395,-1.0,0.9949727837917866
300,Orco +/+ shuffle vs. Orco +/+ fixed vm3,1.0,1.0,0.0,0.0
301,Orco +/+ shuffle vs. Orco +/+ fixed vm4,0.4,0.44312045179022863,-1.3219280948873622,0.8139136456914863
302,Orco +/+ shuffle vs. Orco +/+ fixed vm5d,0.5714285714285714,0.534813381033722,-0.8073549220576042,0.6258374134358675
303,Orco +/+ shuffle vs. Orco +/+ fixed vm5v,2.0,0.49569541534792144,1.0,0.701793622842597
304,Orco +/+ shuffle vs. Orco +/+ fixed vm7d,0.8333333333333334,1.0,-0.2630344058337938,0.0
305,Orco +/+ shuffle vs. Orco +/+ fixed vm7v,3.0,0.2770942510817256,1.584962500721156,1.2833975740562245
