,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
1751,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dm2,1.0,1.0,0.0,0.0
1752,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dm3,0.5,1.0,-1.0,0.0
1753,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dm4,0.3333333333333333,1.0,-1.5849625007211563,0.0
1754,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dm5,0.5,1.0,-1.0,0.0
1755,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dm6,0.3333333333333333,1.0,-1.5849625007211563,0.0
1756,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dp1l,0.6666666666666666,1.0,-0.5849625007211563,0.0
1757,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dp1m,1.5,0.32847576019737657,0.5849625007211562,1.1132922331335362
1758,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle v,0.5,1.0,-1.0,0.0
1759,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle va1d,0.0,1.0,-inf,0.0
1760,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle va1v,0.0,1.0,-inf,0.0
1761,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle va2,0.4,1.0,-1.3219280948873622,0.0
1762,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle va3,0.0,0.16811176263257183,-inf,1.7831262669967658
1763,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle va4,0.6,1.0,-0.7369655941662062,0.0
1764,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle va5,0.8,0.473003642085288,-0.3219280948873623,0.7486521905509523
1765,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle va6,0.0,0.09235438721818037,-inf,2.382122067042106
1766,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle va7l,1.0,0.5970854561184251,0.0,0.5156950332565295
1767,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle va7m,0.625,0.7544634879598999,-0.6780719051126377,0.2817483943111196
1768,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vc1,0.2857142857142857,0.7141714668937128,-1.8073549220576042,0.3366321957627964
1769,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vc2,0.75,0.6817924533777713,-0.4150374992788438,0.383029988014026
1770,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vc3l,0.3333333333333333,1.0,-1.5849625007211563,0.0
1771,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vc3m,0.25,1.0,-2.0,0.0
1772,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vc4,0.4,1.0,-1.3219280948873622,0.0
1773,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vc5,0.375,1.0,-1.415037499278844,0.0
1774,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vl1,1.5,0.32847576019737657,0.5849625007211562,1.1132922331335362
1775,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vl2a,0.0,0.2994097856387573,-inf,1.2059421233665386
1776,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vl2p,1.0,0.5970854561184251,0.0,0.5156950332565295
1777,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vm1,0.16666666666666666,0.4206990817903007,-2.584962500721156,0.8658374709639869
1778,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vm2,0.75,0.6817924533777713,-0.4150374992788438,0.383029988014026
1779,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vm3,1.0,0.3935724977292633,0.0,0.9324899899006432
1780,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vm4,0.3333333333333333,0.7464131105159545,-1.5849625007211563,0.29247606460332676
1781,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vm5d,0.25,0.4906778798372078,-2.0,0.7119674156934575
1782,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vm5v,1.0,0.43429769489381065,0.0,0.8340250470911575
1783,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vm7d,0.5,1.0,-1.0,0.0
1784,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle vm7v,0.8571428571428571,0.3470105134586663,-0.22239242133644802,1.0584002013424816
1785,Orco +/+ gamma vs. Orco +/+ gamma shuffle d,1.4,0.7639568693779908,0.48542682717024166,0.26924394510291566
1786,Orco +/+ gamma vs. Orco +/+ gamma shuffle da1,6.5,0.004679719081201414,2.700439718141092,5.3645171962384905
1787,Orco +/+ gamma vs. Orco +/+ gamma shuffle da2,0.0,0.027904310654982837,-inf,3.5789740983264684
1788,Orco +/+ gamma vs. Orco +/+ gamma shuffle da3,0.3333333333333333,0.6194647201946454,-1.5849625007211563,0.4788995283729314
1789,Orco +/+ gamma vs. Orco +/+ gamma shuffle da4l,0.3333333333333333,0.27442466235050983,-1.5849625007211563,1.2930785097984732
1790,Orco +/+ gamma vs. Orco +/+ gamma shuffle da4m,0.25,0.09655448381865689,-2.0,2.3376478308062674
1791,Orco +/+ gamma vs. Orco +/+ gamma shuffle dc1,1.0,1.0,0.0,0.0
1792,Orco +/+ gamma vs. Orco +/+ gamma shuffle dc2,1.5,0.7445101341847106,0.5849625007211562,0.29502881488260313
1793,Orco +/+ gamma vs. Orco +/+ gamma shuffle dc3,2.0,0.2737739681196415,1.0,1.295452446909176
1794,Orco +/+ gamma vs. Orco +/+ gamma shuffle dc4,0.2857142857142857,0.1651615526809429,-1.8073549220576042,1.800831176937095
1795,Orco +/+ gamma vs. Orco +/+ gamma shuffle dl1,2.0,0.2737739681196415,1.0,1.295452446909176
1796,Orco +/+ gamma vs. Orco +/+ gamma shuffle dl2d,3.0,0.27442466235050983,1.584962500721156,1.2930785097984732
1797,Orco +/+ gamma vs. Orco +/+ gamma shuffle dl2v,2.0,0.6805029605644197,1.0,0.3849231063278247
1798,Orco +/+ gamma vs. Orco +/+ gamma shuffle dl3,0.0,0.027904310654982837,-inf,3.5789740983264684
1799,Orco +/+ gamma vs. Orco +/+ gamma shuffle dl4,0.0,0.4963503649634988,-inf,0.7004732206520279
1800,Orco +/+ gamma vs. Orco +/+ gamma shuffle dl5,3.0,0.6194647201946454,1.584962500721156,0.4788995283729314
1801,Orco +/+ gamma vs. Orco +/+ gamma shuffle dm1,0.7777777777777778,0.791188186642442,-0.36257007938470825,0.23421942972235965
1802,Orco +/+ gamma vs. Orco +/+ gamma shuffle dm2,2.0,1.0,1.0,0.0
1803,Orco +/+ gamma vs. Orco +/+ gamma shuffle dm3,0.5,0.6805029605644197,-1.0,0.3849231063278247
1804,Orco +/+ gamma vs. Orco +/+ gamma shuffle dm4,0.5,0.4929508816896472,-1.0,0.7073457413641525
1805,Orco +/+ gamma vs. Orco +/+ gamma shuffle dm5,1.5,0.7445101341847106,0.5849625007211562,0.29502881488260313
1806,Orco +/+ gamma vs. Orco +/+ gamma shuffle dm6,1.1666666666666667,1.0,0.22239242133644802,0.0
