,vm3,dl2v,va2,va4,dp1m,dm1,dm2,dm3,dm4,vm2,d,da1,da2,da3,da4l,da4m,dc1,dc2,dc3,dc4,dl1,dl2d,dl3,dl4,dl5,dm5,dm6,dp1l,v,va1d,va1v,va3,va5,va6,va7l,va7m,vc1,vc2,vc3l,vc3m,vc4,vc5,vl1,vl2a,vl2p,vm1,vm4,vm5d,vm5v,vm7d,vm7v
d,-0.32132543144773157,-0.2324693163153731,3.580960067029972,-0.19073431957798856,1.4619087972986087,-0.36464526374458534,-0.35368421516410914,-0.2659498441962287,0.0,-0.3728967126339098,0.02459735586131229,-0.33912590381758645,0.0,0.0,-0.18790823039834703,-0.19073431957798592,1.6339490556315897,-0.32376295818623446,-0.20851441405707538,-0.27527560420488073,-0.2527855322222452,-0.3926185267029716,0.0,-0.2515396245188965,-0.2821101171896264,-0.3578081230335953,-0.25317216319399277,-0.39539439203710597,0.0,-0.2821101171896257,-0.20676766567910307,1.2634047703054223,-0.3565517229866141,-0.4795846284327372,6.003085626328948,-0.26797641911263237,-0.21958604088171044,-0.25890435250935806,-0.42230208885918324,-0.2747836228381637,-0.17886236067447864,0.0,-0.20145154833543247,-0.307460255048675,3.856693784161083,-0.27173375006901734,-0.20170141995959712,-0.31622776601683555,-0.27173375006901723,-0.26843339998962984,-0.28080215854668356
da1,-0.3812075413083067,-0.341666727194364,0.9421698556117385,-0.23657178420367495,-0.6316329782291067,-0.4430627842706188,-0.4658109154936024,-0.34757603573446577,0.0,-0.5143889538144224,-0.33912590381758645,-0.024087165659288316,0.0,0.0,-0.17886236067447864,-0.20960938184084285,1.1683497466387873,-0.39224219512339836,-0.3305150682747052,2.1991509249103287,-0.32086252836510193,-0.46233392568506787,0.0,-0.3304639363528287,-0.38788161463916326,-0.46195311311342074,-0.3109528048841011,-0.4833042865204151,0.0,-0.31432689863843,-0.21783372251022515,-0.6541282084961596,-0.4552654117379734,1.1201951510386836,-0.2294157338705631,-0.3439688232730038,3.0517964551211283,-0.3035624658096994,-0.5605594545330133,-0.32989847766409514,-0.21219098448475224,0.0,-0.21958604088171105,2.095185290021239,-0.2981963615831121,-0.30291456368366937,-0.20676766567910443,2.309931125225057,-0.31879073848019895,-0.31474137580870026,-0.3001668056842826
da2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da4l,-0.22717430935012853,-0.20938322787871397,-0.36503155355959555,-0.1315066460883697,-0.3852839362528623,-0.27865269733681464,-0.2689518758240515,-0.19601428307463412,0.0,-0.30160135623364104,-0.18790823039834703,-0.17886236067447864,0.0,0.0,-0.057178935564340755,-0.11915864618843348,-0.34504481408912524,-0.23246931631537318,-0.1818181818181809,-0.23787422041022488,6.120583179856231,-0.28474739872574917,0.0,-0.1701143931371211,-0.2271743093501287,-0.2662925499179869,-0.18760780199820948,-0.27799156915712697,0.0,-0.1633831238976006,-0.13150664608837037,-0.40361291122890613,-0.25376358149933415,-0.31208336042390494,-0.11915864618843319,-0.20436564947534772,-0.15393726795177082,-0.18181818181818094,-0.28972459323241684,-0.1886931086693319,-0.1391689327581983,0.0,-0.12340351046845809,-0.22032632461961732,-0.2041241452319309,-0.190445346626828,-0.1315066460883701,-0.2567220830739278,-0.1960142830746346,-0.1932469879202481,-0.1935252382615125
da4m,-0.21453462331873135,-0.1847326808984633,-0.3605537649119148,-0.14645975437882963,-0.3812075413083086,-0.2531721631939926,-0.2637897496303546,-0.18181818181818057,0.0,-0.30512572076725336,-0.19073431957798592,-0.20960938184084285,0.0,0.0,-0.11915864618843348,-0.05586161994425141,-0.37471279260516055,-0.22717430935012836,-0.21958604088171066,-0.20676766567910385,-0.2269905522939339,-0.23874983964314198,0.0,-0.19073431957798695,-0.19900743804199658,4.313680926686071,-0.20170141995959695,2.9363033068913187,0.0,-0.18790823039834625,-0.13150664608836984,-0.3733115304372565,-0.28149908961171904,2.6244096770789587,-0.14285714285714254,-0.18760780199820926,-0.15729003520547108,-0.1728181628323163,-0.33984705497120016,-0.17318976288085827,-0.1147659615791357,0.0,-0.1568125120467957,-0.22717430935012833,-0.16658099888065958,-0.1818181818181812,-0.12751534261266706,-0.2178337225102255,4.554240205451044,-0.20700127632521687,-0.18181818181818096
dc1,-0.5888564165660621,-0.5058611277646354,2.0815431857600277,-0.3259348680202761,0.12951589728007828,-0.714218486399892,0.7856675486720928,-0.4960961855722769,0.0,0.45280515815733946,1.6339490556315897,1.1683497466387873,0.0,0.0,-0.34504481408912524,-0.37471279260516055,0.05721780548934284,-0.5810911830265688,-0.4781157180073348,-0.5845631254092469,-0.450937321284836,-0.6864500609608589,0.0,-0.5028387912162229,-0.6114026317084889,0.8092345530678344,1.602039921919245,-0.8180915446226683,0.0,-0.5078215550622607,-0.35587413960858116,-0.022482761888788727,-0.6899735769031194,0.24342761759161108,-0.34769831192879636,-0.502044209196463,1.5259667125052678,-0.47334291327830025,0.3981108057458136,-0.5036158514561936,-0.34159892342283205,0.0,-0.3681238673088547,-0.5957340453055905,-0.47334291327829986,1.717609432842341,-0.28462546558649193,1.140530609166168,-0.516012225305208,-0.489025429950339,-0.491539152311423
dc2,-0.3863247046849541,-0.3066511127049083,-0.6371649914931364,-0.23437535321350966,-0.6325330457811116,-0.4652504278816006,-0.43434862841756194,-0.33303758074836076,0.0,1.6361174233047122,-0.32376295818623446,-0.39224219512339836,0.0,0.0,-0.23246931631537318,-0.22717430935012836,-0.5810911830265688,-0.028623179987012283,-0.35180493693096826,2.0516739613266237,-0.3302269624810701,-0.4614631320839897,0.0,6.448890779552868,-0.3913049404454119,-0.4276948619459219,2.8749445424997058,1.6339490556315897,0.0,-0.3027678067391194,-0.2271743093501279,0.901515538266789,1.7440253182337584,-0.6044140362947318,-0.2424934605931545,-0.3087765969041382,-0.3240705320913234,3.0865520237708894,1.296105613535378,-0.32327759353102614,-0.19259441882751543,0.0,-0.2119718835478847,2.1176490531446492,-0.32240330903241543,-0.3269470456381055,-0.21277862508442916,-0.3661242609476231,-0.3213254314477326,-0.34947836048026854,-0.32616403652671855
dc3,-0.3339282531950964,-0.2744655138593377,-0.5360727122190158,-0.16171366879482674,-0.5289197988214492,-0.37270950299014016,-0.3949062579424568,-0.25979337021913174,0.0,-0.40169934950472835,-0.20851441405707538,-0.3305150682747052,0.0,0.0,-0.1818181818181809,-0.21958604088171066,-0.4781157180073348,-0.35180493693096826,-0.09126234563669829,-0.34307825795898433,-0.28718326344709616,2.3104439615981365,0.0,-0.3066511127049085,-0.3650315535595954,-0.40915700207312283,-0.30156099037640677,-0.4343486284175619,0.0,-0.2659498441962283,-0.1879082303983476,1.3183328766150477,-0.3852839362528634,1.461069764824736,-0.1821440187793321,-0.26809715605695034,-0.23673712220542417,-0.27656475794223523,-0.4490473675001083,-0.2705619998306718,-0.16658099888065944,0.0,-0.1728181628323158,-0.30408280457197445,-0.2650417510351709,-0.24206330594147332,-0.18473268089846342,-0.324627971800987,-0.24356115022372798,-0.2680971560569505,-0.268097156056951
dc4,-0.3962976228172846,-0.35425610804439134,-0.648155449070504,-0.20960938184084327,-0.643087671830594,-0.47713309098120316,-0.4525134753572828,-0.3298984776640956,0.0,-0.5219155938140462,-0.27527560420488073,2.1991509249103287,0.0,0.0,-0.23787422041022488,-0.20676766567910385,-0.5845631254092469,2.0516739613266237,-0.34307825795898433,0.006970319675136055,-0.32777892771448475,1.939914250270555,0.0,2.6846715494600777,-0.4003640897146242,-0.3905667329424731,-0.3398470549712002,-0.4774706866377584,0.0,-0.33208066699575906,-0.2050084927797967,-0.6047261086589598,-0.46530894502644016,1.0585415567581289,-0.21474704482545734,-0.3079667218739758,2.9083726130577063,-0.3482091517496355,1.3197501358542685,-0.333037580748361,-0.2220764357981969,0.0,-0.22113449066792407,2.196368124802104,-0.3237629581862342,-0.3162277660168359,-0.24785521271576022,-0.3778187377144292,-0.30707603727072436,-0.32694704563810567,-0.3250463053891438
